0.125 0 0 0.080 0.080 0.111 -0.001 -0.001 1.672 0.064
0.125 0.125 0 0.082 0.082 0.105 0.003 0.000 1.534 0.062
0.125 0.125 0.125 0.082 0.084 0.105 0.010 0.003 1.531 0.063
0.125 0.125 0.25 0.083 0.088 0.106 0.028 0.006 1.533 0.064
0.125 0.125 0.375 0.086 0.086 0.108 -0.005 0.001 1.557 0.067
0.125 0.125 0.4375 0.086 0.082 0.109 -0.029 -0.011 1.591 0.068
0.125 0.125 0.5 0.082 0.081 0.110 -0.007 -0.020 1.624 0.065
0.125 0.25 0 0.081 0.081 0.099 0.002 0.000 1.427 0.060
0.125 0.25 0.125 0.084 0.085 0.100 0.007 0.006 1.421 0.063
0.125 0.25 0.25 0.086 0.092 0.101 0.033 0.019 1.428 0.067
0.125 0.25 0.375 0.087 0.099 0.104 0.073 0.027 1.461 0.068
0.125 0.25 0.4375 0.088 0.095 0.105 0.042 0.023 1.505 0.069
0.125 0.25 0.5 0.087 0.075 0.107 -0.074 -0.070 1.558 0.067
0.125 0.5 0 0.078 0.078 0.092 -0.001 0.000 1.297 0.057
0.125 0.5 0.125 0.086 0.086 0.094 -0.001 0.012 1.291 0.064
0.125 0.5 0.25 0.091 0.093 0.095 0.011 0.038 1.324 0.071
0.125 0.5 0.375 0.097 0.105 0.101 0.043 0.067 1.397 0.076
0.125 0.5 0.4375 0.093 0.113 0.106 0.109 0.080 1.464 0.075
0.125 0.5 0.5 0.095 0.068 0.103 -0.176 -0.168 1.487 0.072
0.125 1 0 0.073 0.073 0.084 0.002 0.000 1.137 0.053
0.125 1 0.125 0.085 0.083 0.085 -0.011 0.016 1.151 0.063
0.125 1 0.25 0.095 0.096 0.086 0.011 0.059 1.229 0.073
0.125 1 0.375 0.101 0.102 0.095 0.007 0.132 1.396 0.079
0.125 1 0.4375 0.105 0.116 0.103 0.061 0.157 1.499 0.084
0.125 1 0.5 0.080 0.061 0.083 -0.148 -0.242 1.575 0.058
1 0 0 0.183 0.182 0.231 -0.004 -0.001 1.591 0.165
1 0.25 0 0.172 0.172 0.209 0.000 0.000 1.434 0.141
1 0.25 0.125 0.173 0.177 0.209 0.013 0.001 1.439 0.142
1 0.25 0.25 0.172 0.184 0.212 0.034 0.010 1.469 0.144
1 0.25 0.375 0.178 0.183 0.219 0.016 0.002 1.513 0.151
1 0.25 0.5 0.190 0.162 0.223 -0.083 -0.038 1.511 0.166
1 0.5 0 0.164 0.164 0.192 -0.002 -0.001 1.339 0.130
1 0.5 0.125 0.167 0.168 0.191 0.003 0.008 1.345 0.133
1 0.5 0.25 0.174 0.183 0.192 0.027 0.022 1.355 0.141
1 0.5 0.375 0.175 0.201 0.204 0.076 0.037 1.428 0.147
1 0.5 0.5 0.189 0.146 0.211 -0.135 -0.103 1.446 0.158
