0.125 0 0 0.000 0.000 0.001 0.000 -0.001
0.125 0.125 0 0.000 0.002 0.003 0.003 0.005
0.125 0.125 0.125 0.020 -0.066 0.002 0.002 0.008
0.125 0.125 0.25 0.046 -0.095 -0.021 -0.020 0.011
0.125 0.125 0.375 0.077 -0.086 -0.081 -0.079 0.071
0.125 0.125 0.4375 0.068 -0.043 -0.057 -0.058 0.129
0.125 0.125 0.5 0.000 -0.015 -0.004 -0.005 -0.002
0.125 0.25 0 0.001 0.000 -0.002 -0.002 -0.002
0.125 0.25 0.125 -0.016 -0.097 0.027 0.026 0.032
0.125 0.25 0.25 0.006 -0.128 0.062 0.061 0.080
0.125 0.25 0.375 0.043 -0.120 0.033 0.034 0.085
0.125 0.25 0.4375 0.093 -0.123 -0.093 -0.090 0.156
0.125 0.25 0.5 0.000 -0.031 -0.004 -0.005 0.002
0.125 0.5 0 0.000 0.000 0.003 0.003 0.004
0.125 0.5 0.125 -0.068 -0.104 0.021 0.018 0.030
0.125 0.5 0.25 -0.043 -0.140 0.077 0.069 0.099
0.125 0.5 0.375 0.036 -0.101 0.133 0.130 0.182
0.125 0.5 0.4375 0.052 -0.070 0.140 0.137 0.180
0.125 0.5 0.5 0.000 -0.069 -0.004 -0.003 0.013
0.125 1 0 0.001 0.001 0.004 0.004 0.001
0.125 1 0.125 -0.123 -0.087 0.017 0.016 0.037
0.125 1 0.25 -0.102 -0.108 0.060 0.051 0.093
0.125 1 0.375 0.027 -0.091 0.105 0.103 0.160
0.125 1 0.4375 0.067 -0.033 0.165 0.163 0.190
0.125 1 0.5 0.000 -0.150 0.000 0.000 0.009
1 0 0 0.000 0.000 0.006 0.003 0.004
1 0.25 0 -0.008 -0.003 -0.002 -0.003 0.000
1 0.25 0.125 0.050 -0.089 -0.014 -0.010 0.007
1 0.25 0.25 0.103 -0.095 -0.016 -0.011 0.066
1 0.25 0.375 0.104 -0.055 -0.056 -0.058 0.093
1 0.25 0.5 0.000 -0.011 -0.001 -0.003 -0.008
1 0.5 0 -0.001 0.004 -0.002 -0.003 0.000
1 0.5 0.125 -0.029 -0.114 0.030 0.028 0.034
1 0.5 0.25 -0.004 -0.153 0.068 0.072 0.087
1 0.5 0.375 0.103 -0.101 0.056 0.070 0.142
1 0.5 0.5 0.000 -0.031 -0.003 -0.008 -0.009
